dataset,method,rank,best_nfr,baseline_acc
australian,confidence_drop,1,0.14429865482280477,0.7871999999999999
australian,baseline,2,0.15736443221393692,0.7871999999999999
australian,fixed_anchor,3,,0.7871999999999999
australian,selective_distill,4,,0.7871999999999999
australian,projected_gd,5,,0.7871999999999999
australian,bcwi,6,,0.7871999999999999
blood-transfusion,bcwi,1,0.012933104097569323,0.7074074074074075
blood-transfusion,projected_gd,2,0.01560983216160769,0.7074074074074075
blood-transfusion,baseline,3,0.2337446404044555,0.7074074074074075
blood-transfusion,confidence_drop,4,,0.7074074074074075
blood-transfusion,fixed_anchor,5,,0.7074074074074075
blood-transfusion,selective_distill,6,,0.7074074074074075
breast-w,projected_gd,1,0.018154823469067653,0.8333333333333334
breast-w,selective_distill,2,0.09014379092362432,0.8333333333333334
breast-w,confidence_drop,3,0.1692488123080691,0.8333333333333334
breast-w,baseline,4,0.17734089284816873,0.8333333333333334
breast-w,fixed_anchor,5,,0.8333333333333334
breast-w,bcwi,6,,0.8333333333333334
churn,projected_gd,1,0.008295216115851385,0.9014444444444445
churn,bcwi,2,0.010562389188397121,0.9014444444444445
churn,fixed_anchor,3,0.011277245912194846,0.9014444444444445
churn,selective_distill,4,0.014748595743791258,0.9014444444444445
churn,confidence_drop,5,0.015104896250109232,0.9014444444444445
churn,baseline,6,0.019440136044697232,0.9014444444444445
credit-approval,projected_gd,1,0.03540211423375746,0.8
credit-approval,fixed_anchor,2,0.06974830250084975,0.8
credit-approval,selective_distill,3,0.08837344690283389,0.8
credit-approval,confidence_drop,4,0.09853657793140576,0.8
credit-approval,baseline,5,0.10599730025116849,0.8
credit-approval,bcwi,6,,0.8
credit-g,bcwi,1,0.025958145907711394,0.7138888888888889
credit-g,fixed_anchor,2,0.06034037603200613,0.7138888888888889
credit-g,confidence_drop,3,0.07616345697120955,0.7138888888888889
credit-g,selective_distill,4,0.08226083796929827,0.7138888888888889
credit-g,baseline,5,0.1009625572668176,0.7138888888888889
credit-g,projected_gd,6,,0.7138888888888889
diabetes,confidence_drop,1,0.18186462016781127,0.681294964028777
diabetes,baseline,2,0.25528729090461033,0.681294964028777
diabetes,fixed_anchor,3,,0.681294964028777
diabetes,selective_distill,4,,0.681294964028777
diabetes,projected_gd,5,,0.681294964028777
diabetes,bcwi,6,,0.681294964028777
eeg-eye-state,fixed_anchor,1,0.018174927653387355,0.7575611564121572
eeg-eye-state,projected_gd,2,0.01961734787862774,0.7575611564121572
eeg-eye-state,bcwi,3,0.028486662331414607,0.7575611564121572
eeg-eye-state,selective_distill,4,0.03712839244245885,0.7575611564121572
eeg-eye-state,confidence_drop,5,0.07584909036359871,0.7575611564121572
eeg-eye-state,baseline,6,0.0791263382058935,0.7575611564121572
electricity,projected_gd,1,0.0102449140936498,0.783427310615347
electricity,fixed_anchor,2,0.011873964715197157,0.783427310615347
electricity,bcwi,3,0.014911362375153683,0.783427310615347
electricity,selective_distill,4,0.0151367730630736,0.783427310615347
electricity,confidence_drop,5,0.024251995750834768,0.783427310615347
electricity,baseline,6,0.037974037432294036,0.783427310615347
heart-c,projected_gd,1,0.05205631795957829,0.7145454545454546
heart-c,bcwi,2,0.09265964519647056,0.7145454545454546
heart-c,selective_distill,3,0.20365882193077905,0.7145454545454546
heart-c,fixed_anchor,4,0.22146820418012436,0.7145454545454546
heart-c,confidence_drop,5,0.226823450884695,0.7145454545454546
heart-c,baseline,6,0.23174732428203865,0.7145454545454546
heart-h,projected_gd,1,0.06432355185628488,0.6545454545454545
heart-h,bcwi,2,0.0801157625409973,0.6545454545454545
heart-h,selective_distill,3,0.20546270306784783,0.6545454545454545
heart-h,baseline,4,0.24335119028167237,0.6545454545454545
heart-h,confidence_drop,5,0.243370883101018,0.6545454545454545
heart-h,fixed_anchor,6,0.24789760033782762,0.6545454545454545
heart-statlog,projected_gd,1,0.023564419880652006,0.7040816326530612
heart-statlog,bcwi,2,0.049956564321576934,0.7040816326530612
heart-statlog,confidence_drop,3,0.2327290785734414,0.7040816326530612
heart-statlog,selective_distill,4,0.2428040671057802,0.7040816326530612
heart-statlog,baseline,5,0.2587078387579693,0.7040816326530612
heart-statlog,fixed_anchor,6,0.27532050408682696,0.7040816326530612
hepatitis,bcwi,1,0.026190476190476188,0.7344827586206897
hepatitis,projected_gd,2,0.05365190365190366,0.7344827586206897
hepatitis,fixed_anchor,3,0.1307277867060476,0.7344827586206897
hepatitis,selective_distill,4,0.14909782246738768,0.7344827586206897
hepatitis,baseline,5,0.15396378983335507,0.7344827586206897
hepatitis,confidence_drop,6,,0.7344827586206897
hill-valley,selective_distill,1,0.10624609958971976,0.5063636363636363
hill-valley,confidence_drop,2,0.19276880686256193,0.5063636363636363
hill-valley,fixed_anchor,3,0.19448609203960013,0.5063636363636363
hill-valley,baseline,4,0.22896577436080423,0.5063636363636363
hill-valley,projected_gd,5,,0.5063636363636363
hill-valley,bcwi,6,,0.5063636363636363
ilpd,projected_gd,1,0.03023303445850914,0.6533333333333333
ilpd,baseline,2,0.20912071760042722,0.6533333333333333
ilpd,confidence_drop,3,,0.6533333333333333
ilpd,fixed_anchor,4,,0.6533333333333333
ilpd,selective_distill,5,,0.6533333333333333
ilpd,bcwi,6,,0.6533333333333333
ionosphere,projected_gd,1,0.03522891817494516,0.7828125
ionosphere,bcwi,2,0.05902667409134514,0.7828125
ionosphere,selective_distill,3,0.14642253840485234,0.7828125
ionosphere,fixed_anchor,4,0.1838586862982716,0.7828125
ionosphere,baseline,5,0.19513077100973833,0.7828125
ionosphere,confidence_drop,6,,0.7828125
kc1,bcwi,1,0.010914009320670544,0.8089238845144358
kc1,projected_gd,2,0.01267460395542119,0.8089238845144358
kc1,fixed_anchor,3,0.027287612481915708,0.8089238845144358
kc1,selective_distill,4,0.03533773577770809,0.8089238845144358
kc1,confidence_drop,5,0.040112689085365014,0.8089238845144358
kc1,baseline,6,0.042336863103636865,0.8089238845144358
kc2,projected_gd,1,0.026621913878733704,0.7968421052631578
kc2,bcwi,2,0.04059706007756412,0.7968421052631578
kc2,fixed_anchor,3,0.04839673229995811,0.7968421052631578
kc2,confidence_drop,4,0.05746543105074514,0.7968421052631578
