dataset,split,model_type,method,lambda,target_nfr,achieved_nfr,accuracy,pfr
australian,0,mlp,baseline,,,0.05660377358490566,0.856,0.3684210526315789
australian,0,mlp,confidence_drop,0.0,,0.05660377358490566,0.848,0.3157894736842105
australian,0,mlp,fixed_anchor,0.0,,0.03773584905660377,0.864,0.3157894736842105
australian,0,mlp,selective_distill,0.0,,0.05660377358490566,0.848,0.3157894736842105
australian,0,mlp,confidence_drop,0.5,,0.05660377358490566,0.84,0.2631578947368421
australian,0,mlp,fixed_anchor,0.5,,0.02830188679245283,0.864,0.2631578947368421
australian,0,mlp,selective_distill,0.5,,0.05660377358490566,0.848,0.3157894736842105
australian,0,mlp,confidence_drop,1.0,,0.03773584905660377,0.856,0.2631578947368421
australian,0,mlp,fixed_anchor,1.0,,0.02830188679245283,0.856,0.21052631578947367
australian,0,mlp,selective_distill,1.0,,0.04716981132075472,0.856,0.3157894736842105
australian,0,mlp,confidence_drop,2.0,,0.02830188679245283,0.864,0.2631578947368421
australian,0,mlp,fixed_anchor,2.0,,0.03773584905660377,0.848,0.21052631578947367
australian,0,mlp,selective_distill,2.0,,0.02830188679245283,0.88,0.3684210526315789
australian,0,mlp,confidence_drop,4.0,,0.018867924528301886,0.872,0.2631578947368421
australian,0,mlp,fixed_anchor,4.0,,0.03773584905660377,0.84,0.15789473684210525
australian,0,mlp,selective_distill,4.0,,0.02830188679245283,0.872,0.3157894736842105
australian,0,mlp,confidence_drop,8.0,,0.018867924528301886,0.872,0.2631578947368421
australian,0,mlp,fixed_anchor,8.0,,0.03773584905660377,0.848,0.21052631578947367
australian,0,mlp,selective_distill,8.0,,0.02830188679245283,0.872,0.3157894736842105
australian,0,mlp,projected_gd,,0.0,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.0,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.005,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.005,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.01,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.01,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.015,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.015,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.02,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.02,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.025,0.0,0.848,0.0
australian,0,mlp,bcwi,,0.025,0.018867924528301886,0.832,0.0
australian,0,mlp,projected_gd,,0.03,0.0,0.848,0.0
