dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
australian,baseline,,0.15736443221393692,0.14421211889231356,0.7871999999999999,0.07930363589815202
australian,confidence_drop,0.0,0.14622014506150116,0.12771493816539745,0.7863999999999999,0.08373927792061898
australian,confidence_drop,0.5,0.14968501499569956,0.13210019950704305,0.7783999999999999,0.0919942027158958
australian,confidence_drop,1.0,0.14429865482280477,0.1307517680955239,0.7792,0.09864504267546566
australian,confidence_drop,2.0,0.14871243060805736,0.13798881396990637,0.7783999999999999,0.10451496437246571
australian,confidence_drop,4.0,0.16087227842045276,0.15377210005867606,0.7664,0.1196023039540255
australian,confidence_drop,8.0,0.17222608464265574,0.17924528934904638,0.752,0.14669090708773405
australian,fixed_anchor,0.0,0.1821176743518508,0.19332531199993777,0.7608,0.141732768891946
australian,fixed_anchor,0.5,0.1652487547662976,0.19771114015493618,0.7584,0.14394072854245712
australian,fixed_anchor,1.0,0.16049312780608604,0.19350841219943485,0.7584,0.14049056907849722
australian,fixed_anchor,2.0,0.15898754444066443,0.19279740550518154,0.76,0.13882042757141727
australian,fixed_anchor,4.0,0.1587620495206858,0.19308713477280845,0.76,0.1349765411716668
australian,fixed_anchor,8.0,0.15856842295205179,0.19849270247794293,0.76,0.14400000000000002
australian,selective_distill,0.0,0.1806372219715831,0.1959164790069723,0.7551999999999999,0.142570684223651
australian,selective_distill,0.5,0.16948813586986464,0.18906021859349814,0.7624,0.14126035851890256
australian,selective_distill,1.0,0.1709258034340666,0.19175881579166748,0.7608,0.14283230260227084
australian,selective_distill,2.0,0.16973390595020713,0.20251357547794552,0.7584000000000001,0.15571141398254798
australian,selective_distill,4.0,0.16146489584153406,0.19710426628548938,0.76,0.1520701592467547
australian,selective_distill,8.0,0.1526051823191614,0.19037378263999796,0.7592000000000001,0.15385765427101042
australian,projected_gd,0.0,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.005,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.01,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.015,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.02,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.025,0.02319089891722292,0.01730069835055708,0.7632,0.10898807274192897
australian,projected_gd,0.03,0.028840821707667098,0.018106053843442837,0.76,0.10653324989567027
australian,bcwi,0.0,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.005,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.01,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.015,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.02,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.025,0.04088246047917061,0.054083714300738404,0.7464,0.12032843942033541
australian,bcwi,0.03,0.04656347671064555,0.051836916722449104,0.748,0.12169177823044944
blood-transfusion,baseline,,0.2337446404044555,0.2575274423428385,0.7074074074074075,0.13154956795034553
blood-transfusion,confidence_drop,0.0,0.17327650053372087,0.2828027135856441,0.6844444444444443,0.16154263198262495
