dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,0,baseline,logreg,,,0.013508623808949464,0.8514689323369843,0.09404600811907984
adult,0,confidence_drop,logreg,0.0,,0.013991074659269086,0.8510594738458389,0.09404600811907984
adult,0,fixed_anchor,logreg,0.0,,0.01387046194668918,0.8520831200737026,0.10013531799729364
adult,0,selective_distill,logreg,0.0,,0.01326739838378965,0.8516736615825571,0.09404600811907984
adult,0,confidence_drop,logreg,0.5,,0.010613918707031721,0.8529020370559934,0.08728010825439783
adult,0,fixed_anchor,logreg,0.5,,0.0074779881799541675,0.8519807554509161,0.06359945872801083
adult,0,selective_distill,logreg,0.5,,0.011458207695091063,0.8519807554509161,0.08592692828146144
adult,0,confidence_drop,logreg,1.0,,0.01037269328187191,0.8529020370559934,0.08592692828146144
adult,0,fixed_anchor,logreg,1.0,,0.005548184778675673,0.852492578564848,0.05615696887686062
adult,0,selective_distill,logreg,1.0,,0.010493305994451816,0.8519807554509161,0.08051420838971583
adult,0,confidence_drop,logreg,2.0,,0.010734531419611627,0.8500358276179752,0.06901217861975643
adult,0,fixed_anchor,logreg,2.0,,0.004100832227716802,0.8514689323369843,0.041271989174560215
adult,0,selective_distill,logreg,2.0,,0.008684115305753226,0.8514689323369843,0.06698240866035182
adult,0,confidence_drop,logreg,4.0,,0.009649017006392474,0.8489098167673252,0.05548037889039242
adult,0,fixed_anchor,logreg,4.0,,0.003015317814497648,0.8504452861091207,0.028416779431664412
adult,0,selective_distill,logreg,4.0,,0.0068749246170546376,0.8513665677141979,0.05615696887686062
adult,0,confidence_drop,logreg,8.0,,0.01037269328187191,0.8482956290306071,0.05548037889039242
adult,0,fixed_anchor,logreg,8.0,,0.003015317814497648,0.8496263691268298,0.023004059539918808
adult,0,selective_distill,logreg,8.0,,0.004462670365456519,0.8510594738458389,0.04059539918809202
adult,0,projected_gd,logreg,,0.0,0.00012061271257990592,0.8487050875217524,0.0006765899864682003
adult,0,bcwi,logreg,,0.0,0.0007236762754794355,0.8500358276179752,0.012855209742895805
adult,0,projected_gd,logreg,,0.005,0.006030635628995296,0.8512642030914116,0.05074424898511502
adult,0,bcwi,logreg,,0.005,0.0074779881799541675,0.8517760262053434,0.06224627875507442
adult,0,projected_gd,logreg,,0.01,0.011578820407670968,0.8523902139420616,0.08930987821380243
adult,0,bcwi,logreg,,0.01,0.01242310939573031,0.8514689323369843,0.08795669824086604
adult,0,projected_gd,logreg,,0.015,0.015197201785068146,0.8509571092230526,0.10013531799729364
adult,0,bcwi,logreg,,0.015,0.01242310939573031,0.8514689323369843,0.08795669824086604
adult,0,projected_gd,logreg,,0.02,0.01507658907248824,0.8506500153546934,0.09742895805142084
adult,0,bcwi,logreg,,0.02,0.01242310939573031,0.8514689323369843,0.08795669824086604
adult,0,projected_gd,logreg,,0.025,0.01507658907248824,0.8506500153546934,0.09742895805142084
adult,0,bcwi,logreg,,0.025,0.01242310939573031,0.8514689323369843,0.08795669824086604
adult,0,projected_gd,logreg,,0.03,0.01507658907248824,0.8506500153546934,0.09742895805142084
adult,0,bcwi,logreg,,0.03,0.01242310939573031,0.8514689323369843,0.08795669824086604
adult,1,baseline,logreg,,,0.013391241404270721,0.8507523799774798,0.08986486486486486
adult,1,confidence_drop,logreg,0.0,,0.012546748703100494,0.8508547446002661,0.08581081081081081
adult,1,fixed_anchor,logreg,0.0,,0.013753166847629388,0.8512642030914116,0.09527027027027027
adult,1,selective_distill,logreg,0.0,,0.012184823259741826,0.8512642030914116,0.08648648648648649
adult,1,confidence_drop,logreg,0.5,,0.00965134515623115,0.8520831200737026,0.0777027027027027
adult,1,fixed_anchor,logreg,0.5,,0.004946314392568464,0.8541304125294298,0.06486486486486487
adult,1,selective_distill,logreg,0.5,,0.010616479671854265,0.8519807554509161,0.08243243243243244
adult,1,confidence_drop,logreg,1.0,,0.010737121486307155,0.8505476507319071,0.07364864864864865
adult,1,fixed_anchor,logreg,1.0,,0.0038605380624924597,0.8533114955471389,0.05337837837837838
adult,1,selective_distill,logreg,1.0,,0.009048136083966703,0.8525949431876344,0.0777027027027027
adult,1,confidence_drop,logreg,2.0,,0.011219688744118711,0.8479885351622479,0.05945945945945946
adult,1,fixed_anchor,logreg,2.0,,0.003619254433586681,0.8512642030914116,0.038513513513513516
adult,1,selective_distill,logreg,2.0,,0.007479792496079141,0.8522878493192753,0.06689189189189189
adult,1,confidence_drop,logreg,4.0,,0.011099046929665821,0.8463507011976661,0.047972972972972976
adult,1,fixed_anchor,logreg,4.0,,0.0024128362890577875,0.8506500153546934,0.027702702702702704
adult,1,selective_distill,logreg,4.0,,0.005670165279285801,0.8507523799774798,0.046621621621621624
adult,1,confidence_drop,logreg,8.0,,0.013873808662082278,0.8443034087419388,0.05
adult,1,fixed_anchor,logreg,8.0,,0.0014477017734346724,0.8505476507319071,0.021621621621621623
adult,1,selective_distill,logreg,8.0,,0.0031366871757751236,0.8507523799774798,0.032432432432432434
adult,1,projected_gd,logreg,,0.0,0.0,0.8486027228989661,0.0006756756756756757
adult,1,bcwi,logreg,,0.0,0.0,0.8485003582761798,0.0
adult,1,projected_gd,logreg,,0.005,0.002292194474604898,0.8511618384686253,0.030405405405405407
